adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/foe9jC7vtQxqIxE6lPq0nnTckU0.jpg,"[10402, 27]",1371370,es,Skarlett,"Paying homage to 70's grindhouse and B-Movies with music by The Brujas, this music video follows a cannibal bassist that seeks her next victim in a sleazy bar, using her charms to seduce him and then eat him alive, a character introduced in the band's previous single: ""Caníbal"".",22.532,/tSJZe7yAlCB8FSePeg1IqQYDv9B.jpg,2025-03-14,Skarlett,False,0.0,0
False,/b1Pms8IQTCzZimyliCx8CFeqfSa.jpg,"[35, 18, 27]",1275248,en,Sister Midnight,"In Mumbai, an arranged marriage spirals into darkness as the spineless husband watches his wife morph into a ruthless, feral force within their marital confines.",22.522,/lXMJ6un3SZvRq8cOHap7LviY5hG.jpg,2025-03-14,Sister Midnight,False,0.0,0
False,/2YpNYJTqhwZT1Vka4DzQfk1jvUi.jpg,"[18, 10749]",1203524,zh,命中註定那頭鵝,"Moon loves penguins. Her lifelong ambition is to study penguins in Antarctica. She believes she’ll meet her destined mate just like penguins do. One day, Moon runs into Adley, a guy in a penguin suit fortuitously making penguin courtship gestures at her. She believes the penguin-scented Adley is her fate. As they spend time together, Adley is moved by Moon's genuineness and passion. Just when their relationship has made some progress, Moon is recommended for an exchange program to the UK, throwing Moon into a dilemma between pursuing love and her dream.",22.519,/9kx1l6rPfju36Auqxj4FrDYJzhg.jpg,2025-03-14,Penguin Girl,False,0.0,0
False,/aFa7ucmI7ZF6aNsVaoLjmfhM1fr.jpg,"[18, 36]",1380415,en,The Last Supper,A powerful cinematic Biblical journey that brings to life the ultimate act of love and sacrifice as seen through the eyes of those who walked alongside Jesus.,22.501,/3VLE1WoexFHL4NpR1LYU9ds0UaI.jpg,2025-03-14,The Last Supper,False,0.0,0
False,/eJpNYNXB98hIK2s97hQKvtY2CJw.jpg,[35],1208803,en,The Regulars,"Set in London's iconic Prince Charles Cinema, The Regulars follows a day in the life of its hapless employees. During their shift they watch movies, argue with customers, and, above all, deal with each other.",22.501,/uXcTWEMxpKGRzhBTJkFdFAYJnab.jpg,2025-03-14,The Regulars,False,0.0,0
False,/z0e0NLYTw1scnuKkrqTO2F9dqgl.jpg,[99],1386047,et,Minu kallimad,"Three couples from Estonia and Germany navigate the uncharted territory of free love, finding new partners without ending their current relationships. On their journey they seek the help of mentors, psychologists, shamans, dancers and meditation experts. Over the course of several years, filmmaker Eva Kübar observes their sexual intimacy, desires and insecurities without ever judging their personal choices.",22.484,/7JdFCKQQp5ee21ggDKOAUwziXDg.jpg,2025-03-14,My Partners,False,0.0,0
False,,"[99, 10402]",1220028,en,Beginning of a New Era,Documentary film of indigenous Mayan message of Unity and Hope for Humanity for these new times,22.461,/fTA2LAiDyIQlUwo3giWrlFVKn26.jpg,2025-03-14,Beginning of a New Era,False,0.0,0
False,/ArtoKPC906z5dilHSB4iK3Ohrlm.jpg,[99],1399896,en,Art Attack! The Dissection of Terrifier 3,"Described to be 'a full dive into how the Terrifier 3 team brought various brutal kills and bloody effects to life in the latest slasher entry'. The documentary features interviews with director Damien Leone, producer Phil Falcone, and various cast members, along with new footage from the set.",22.439,/twNL1SF1Dne6Yp1tv6rQSDiTHyF.jpg,2025-03-14,Art Attack! The Dissection of Terrifier 3,False,0.0,0
False,/eejUWKVADZuHXccBuaxhDunVipK.jpg,"[18, 10749]",1421053,ja,お嬢と番犬くん,"Senagaki Isaku will be a first-year high school student starting in spring. Her grandfather is the third head of the Senagaki group, a yakuza organization, so she is feared by those around her. However, starting from spring, she hopes to make normal friends and normally fall in love. She is admitted into a high school further from her hometown, however, the overprotective young head of the Senagaki group, Utou Keiya, (26 years old) falsifies his age and enters the school with her through a backdoor admission…?! Keiya proclaims that love is too early for her although Isaku is perfectly ready. In truth, she has held an unrequited love for Keiya for quite some time.",22.407,/bvbLBGPFhamZ1qNNxeMOxAX878G.jpg,2025-03-14,A Girl & Her Guard Dog,False,8.0,1
False,/75RPFgjv5nCmxR9xJcvvOJrcsAS.jpg,[99],1422166,en,The Age of Disclosure,"Director Dan Farah got 34 senior members of the U.S. Government, military, and intelligence community to come on camera. He says they reveal an 80 year cover-up of the existence of non-human intelligent life and a secret war amongst major nations to reverse engineer technology of non-human origin. The film explores the profound impact the situation has on the future of humanity, while providing a look behind-the-scenes with those at the forefront of the bi-partisan disclosure effort.",22.389,/qsV4QTjO1jLLezzPA8yRm207ymb.jpg,2025-03-14,The Age of Disclosure,False,0.0,0
False,/3dR0lgTgfzGt3PYutHwm4FvCGtU.jpg,[18],1416501,ta,DNA,,22.389,/lO8Y1Flrhh090p93whgir2DUAot.jpg,2025-03-14,DNA,False,0.0,0
False,/2vdwsOVgBQoct4Luq7bKtry7fN.jpg,[18],1421781,de,Alleine (+1),,22.375,/jzrVZF8jhKWdmJkPXdP0hTlW3Ia.jpg,2025-03-14,Alleine (+1),False,0.0,0
False,/gwavBG1hohzAKB6Nb3Z0LgeDfzQ.jpg,[53],1422471,ta,Dexter,"Aadi and Yamini's love story takes a tragic turn when Yamini is kidnapped and brutally murdered, plunging Aadi into despair. Struggling with PTSD, he undergoes a memory-erasing treatment and starts anew, reuniting with his childhood friend Bhuvi. However, their lives are upended when Bhuvi's family is taken hostage by a dangerous man named Sadhik. In a tense showdown, Sadhik traps Aadi, Bhuvi, and others in a deadly game, revealing the dark motives behind a string of murders, including Yamini's. Will Aadi uncover the truth and find redemption amidst the chaos?",22.373,/6jLbZlzNOfHQgD0a1wgtBuscriZ.jpg,2025-03-14,Dexter,False,0.0,0
False,/fKqQQZmvjhb8TJErwZFd4C9nPnw.jpg,[18],1422235,tl,Let's Go Somewhere Else,"Five years of silence end when former high school best friends, Ethan and Gio, both cramming for finals, unexpectedly reunite at a cafe. With the cafe closing early, they must go somewhere else, confronting the unresolved pain of their fractured past.",22.373,/64ct5c880qyekgTiwvg8dNBsAz6.jpg,2025-03-14,Let's Go Somewhere Else,False,0.0,0
False,,[],1424103,en,Checkmate,,22.368,/8Vzbj4wGOgF18qd1PWYwlNToi6K.jpg,2025-03-14,Checkmate,False,0.0,0
False,/tMKyEvlIP4hg19R6dtgilrsWKIl.jpg,[18],1424565,en,Down We Go,A Countdown. A Chance?,22.367,/toxjx90Q2ERDtMABDdcGhRKcxQr.jpg,2025-03-14,Down We Go,False,0.0,0
False,/33yXWNsQK272i9NhbbXv0dC30ED.jpg,[35],1424352,en,Taympers,An innocent child Yumi is suddenly introduced to the world of womanhood when she witnesses her older sister Chloe feel pain in her body.,22.367,/ptAQ9vlCGv7uSgMkLPZzPYkuMKH.jpg,2025-03-14,Taympers,False,0.0,0
False,,[18],1425892,ja,STEP OUT にーにーのニライカナイ,"Set against the vibrant and culturally rich backdrop of Okinawa, Step Out tells the inspiring story of Teruya, a young boy who discovers his passion for dance. Living with his dedicated single mother, Akane, and his introverted younger sister, Mai, Teruya finds himself drawn to dance after meeting Lisa, a skilled dancer at a local school. As Teruya hones his skills and partners with Lisa, his growing talent opens the door to both exciting opportunities and unexpected challenges.",22.363,/228se3JN0viTUd2B9XwHgDTnC86.jpg,2025-03-14,STEP OUT,False,0.0,0
False,,"[10749, 35]",1426337,tl,Fleeting,A dreamer who wants to fly around the world meets an unambitious heir with whom she forges an improbable romance.,22.361,/8dLXLQpjDUt6MwXiVHT3rqjG4Rs.jpg,2025-03-14,Fleeting,False,0.0,0
False,/gPqAbR8rvKL7tTcjmRojzChWzvR.jpg,"[18, 53]",1428780,en,Last Resort,"Two men star in a never-ending television show, but one grows increasingly paranoid and desperate to reclaim his autonomy.",22.354,/2eVlSCxXZlbZGD7XhBcPNCFGUli.jpg,2025-03-14,Last Resort,False,0.0,0
False,/dXYnBUiydjiJxtAwt56hcMz8ktD.jpg,[99],1428541,fr,Machine de rêve,"Two sailing passionates build an ice canoe, igniting the spark of a rediscovered memory for a rich culture that is still very much alive.",22.354,/hmCSvZty05pwLdSbCJ21HBLjE4K.jpg,2025-03-14,Machine de rêve,False,0.0,0
False,,[],1431744,ja,BATTLE KING!! Map of The Mind 終奏,,22.346,/GxwDgOay2EbERIwvrITFHaAhFs.jpg,2025-03-14,Battle King!! Map of The Mind Part 2,False,0.0,0
False,,[14],1431328,en,Cereal Bowl,A boy discovers a fault in his normal day-to-day life.,22.346,,2025-03-14,Cereal Bowl,False,0.0,0
False,/uXEO14VpvfaCxRLWeHCLfYKCcKC.jpg,"[16, 35, 10402]",1432101,de,müssen müssen,,22.344,/361LsDbpmOBVu5r0kqhoT6OYtw5.jpg,2025-03-14,müssen müssen,False,0.0,0
False,,[53],1433881,en,They Watch,"A young woman's reality unravels as she becomes convinced she's being stalked by unseen, mysterious forces.",22.34,,2025-03-14,They Watch,False,0.0,0
False,,[27],1433872,en,Herman 2,A short horror film.,22.34,,2025-03-14,Herman 2,False,0.0,0
False,,[27],1433862,en,Wolves in the Trenches,A short horror film.,22.34,,2025-03-14,Wolves in the Trenches,False,0.0,0
False,,[27],1433860,en,The Buried River,A short horror film.,22.34,,2025-03-14,The Buried River,False,0.0,0
False,,[27],1433838,en,Grin,"When newly elected mayor Frank Ford's failed attempts to run the local freak show out of town, Grady Nelson the ring master, and father figure to Grin, Karnage, and Kisses is murdered. Grin is well aware of who committed this heinous act, and The Circus Rejects seek revenge on the mayor and everyone who stands in their way!",22.34,,2025-03-14,Grin,False,0.0,0
False,,[27],1433836,en,Stalker,A young woman must confront her deepest fears if she hopes to survive the night.,22.34,,2025-03-14,Stalker,False,0.0,0
False,,[878],1433831,en,Grimace,A sci-fi short film.,22.34,,2025-03-14,Grimace,False,0.0,0
False,,[27],1433813,en,Sister's Keeper,A horror short film.,22.34,,2025-03-14,Sister's Keeper,False,1.0,1
False,,[27],1433811,en,Cold Read,"""Cold Read"" we follow Bugs, a struggling actor desperate to prove to his girlfriend and the rest of the world that he has what it takes to achieve his dreams. But when fate comes knocking with an audition for a mysterious new project, will he be willing to go to the dark places the role requires?",22.34,,2025-03-14,Cold Read,False,0.0,0
False,,[27],1433802,en,Grinners,Marley is a moderately successful horror cooking show host. Her life gets flipped upside down when she crosses paths with the voyeuristic possum mask. Marley has to survive the night as she is hunted down through the eyes of a possum.,22.34,,2025-03-14,Grinners,False,0.0,0
False,/6CdhDmsrQxIuonHmkLOQN6lCZm9.jpg,"[35, 10749]",1433574,zh,非标准恋爱,,22.34,/x0TarHukSxcMYuqogZNjzeiLzae.jpg,2025-03-14,Tall Girl,False,0.0,0
False,,[27],1433908,en,Surprise,A horror short film.,22.339,,2025-03-14,Surprise,False,0.0,0
False,,[27],1433906,en,After Death Do Us Part,A horror short film.,22.339,,2025-03-14,After Death Do Us Part,False,0.0,0
False,,[],1433900,en,Here I Remain,A horror short film.,22.339,,2025-03-14,Here I Remain,False,0.0,0
False,,[18],1436450,lt,Pasaka kaip gyvenimas,A homeless family’s makeshift home is threatened when the rightful owner returns to reclaim it.,22.332,/A221EsORGOZntgIzn8iYdicVgdC.jpg,2025-03-14,A Lifelike Fairy Tale,False,0.0,0
False,,[18],1436684,ja,不完全なわたし,"Rinka Sugita is a key member of an ad agency’s marketing department. As she races back and forth between photo shoots and meetings, the shy presence of Takashi Uritacatches her attention. Hired as a person with disabilities because he has anxiety disorder, Rinka offers to take him under her wing. It initially seems to him that she takes pity on his situation, but another side to her personality emerges as they slowly get to know each other.",22.331,/qwYSCGU2jcoIRWn1wWaVw7xQWM6.jpg,2025-03-14,Imperfect Me,False,0.0,0
False,,[18],1436683,ja,真アジ,"Hanaoka loves Mirei, his classmate at a culinary school he attends, but expressing that feeling in words is hard to do. When the two are given an assignment to make Horse Mackerel Nanbanzuke, an offbeat love adventure ensues as Hanaoka is blindfolded by Mirei and led across town on a search for ingredients and, hopefully, understanding and connection.",22.331,,2025-03-14,And Then How He Told the Horse Mackerel,False,0.0,0
False,,[],1436458,lt,Sujip,"Aleksandras, a man in his 30s, starts his first day at his new workplace. What appears to be a mundane office space reveals to be a suicide helpline center. One day the phone rings and Pijus, a man of the same age, calls to share his desire to take his life. Although their interaction begins on an awkward note, it gradually transforms into a moving exchange between two men who slowly realize their interconnected destinies.",22.331,/2l5tmuSMbEc9SaeRlEQVzX5R6RF.jpg,2025-03-14,Sujip,False,0.0,0
False,,[],1436456,lt,Koziriai,Emilė always lives ten steps ahead: she knows how things should be. That doesn't help her on an awkward date - a poker party where everyone lives in the moment.,22.331,/kG4nXFiU6mfqrqia4hhSZ6VGw5g.jpg,2025-03-14,All In,False,0.0,0
False,,"[99, 18]",1437979,en,Prisoners of Fire,"June 26,1990, the Dude Fire rages across Zane Gray country in the towering ponderosa forests below the Mogollon Rim in Central Arizona, killing five prison crew members and a female supervisor on her first fire. Follow along with the survivors and firefighters as they share their experience as inmate firefighters and their harrowing story of courage, loss and redemption.",22.328,/cH9GPeakTbqyssUmOhlB7WEeK48.jpg,2025-03-14,Prisoners of Fire,False,0.0,0
False,/q4NXTR3zmwkiX7a4saxVL26T0Vi.jpg,[],1438217,en,TNA Sacrifice 2025,"The 2025 Sacrifice is an upcoming professional wrestling event produced by Total Nonstop Action Wrestling. The event will take place on March 14, 2025, at the El Paso County Coliseum in El Paso, Texas, and air on TNA+. It will be the 16th event under the Sacrifice chronology. Wrestlers from WWE's NXT brand, with which TNA has a partnership, will also appear at the event.",22.327,/nxRgBBzxc55EQdeg3qXCCJfCCu.jpg,2025-03-14,TNA Sacrifice 2025,False,7.0,2
False,,[],1439254,fr,Terre Rouge - Topographie du poète,"Gaston Rollinger, an elderly poet and film-maker, lives alone in his childhood home in the astonishing landscape of Esch-sur-Alzette, a very special place where industrial relics meet wild nature. He draws all his inspiration from this place, and tells Fränz Hausemer many of his secrets, even though some of his landmarks are gradually beginning to disappear. This portrait of a singular man is interspersed with spellbinding pieces, the contours of which are drawn from Rollinger’s own poetry.",22.323,/YR5MywFwR7DdzBeNMmfdt8WEbC.jpg,2025-03-14,Terre Rouge - Topographie du poète,False,0.0,0
False,/iRuC5BqFQiNEFuo1p7NyaLjkm8r.jpg,[],1439459,en,Mindscapes,"The canvas of the mind, where an artist's inner visions and emotions are painted into existence.",22.322,/oxh8f0IdxjeiaG0MGTH5PzRB1vL.jpg,2025-03-14,Mindscapes,False,0.0,0
False,/yWRYg5M2iEkcZpepQNMfKCs50gt.jpg,[18],1440144,es,La deuda,,22.321,/cZkT8i9Z2yM38UMEDpqMIvcXm5D.jpg,2025-03-14,La deuda,False,0.0,0
False,/fXcWrJdBVGGhmAoUPltieJJFFxF.jpg,[27],1440087,bg,Скрити в мрака,,22.321,/2kjoayUhf8Uta1GmIiuGTSkGICS.jpg,2025-03-14,Скрити в мрака,False,0.0,0
False,,[18],1439614,lb,Cinextdoor presentéiert: Marginal,"Luxembourg, beginning of the 20th century . A judge and a brigadier investigate difficult crimes which will lead them to explore the margins of a society in full transformation where victims and executioners merge.",22.321,/4zQTMjKjAdB76HnHhp6RxgomD1u.jpg,2025-03-14,Cinextdoor presentéiert: Marginal,False,0.0,0
False,,[99],1441571,lt,Subtilus reikalas,"A professor of anatomy believes that the work of scientists on humans should be more open to the public, so he lets young filmmakers into his daily life. In an attempt to look at what happens to the body after death, a portrait of the anatomist himself slowly unfolds. But how close are they allowed to get?",22.316,/eSWdsuwlgy8jrpHh5ThirP4vsD7.jpg,2025-03-14,Delicate matter,False,0.0,0
False,/kyFYCrZTQBoLCePqAppG1ao18BP.jpg,"[878, 53]",1441567,en,Warden,"A docu-style science fiction thriller exploring the real-world impact of a young man discovering his superpowers. It delves into how his presence influences society, attracting followers, sparking conflict, and changing the lives of everyone around him.",22.316,/fn5PCbsOJy25k2p7TJ7pbBSqnoM.jpg,2025-03-14,Warden,False,7.5,2
False,/64jleJJyZj23dj8gpClAn8y6fX5.jpg,[10749],1442538,tl,Elevator Lady,An elevator lady who uses her body to earn more money. She falls for a wealthy married man without her knowing that this will soon lead to her downfall.,22.313,/4Q0eicxd5fq9llcoY2Mf8uUEE5r.jpg,2025-03-14,Elevator Lady,False,0.0,0
False,/aLKFFq7zyvIaQE1zvlx1fsm348a.jpg,[18],1443002,ta,மாடன் கொடை விழா,"Determined to revive a long-forgotten tradition, Murugan embarks on a mission to organize the annual Sudalai Madan ceremony, which has been defunct for years. However, his efforts are met with fierce resistance from various quarters.  Adding to the challenge, Murugan's girlfriend lays down an ultimatum: she will only marry him if he succeeds in pulling off the ceremony. Against all odds, Murugan perseveres, rallying the village community to support his cause. Will he triumph in his quest, and how will he overcome the hurdles to successfully organize the ceremony?",22.311,/4WlEM39rC5glXBuGsm5ApqXjbzd.jpg,2025-03-14,Maadan Kodai Vizha,False,0.0,0
False,/fGQCss2nAosaRfaa4NXyr0ZfiEB.jpg,"[10770, 35, 10749]",1418287,en,Royal-ish,"Lacey is an amusement park princess who befriends 8-year-old Rose, a real-life princess, and is recruited by her handsome father to travel to their kingdom and be the new governess.",21.913,/eviXuwmjoxSRzAz0sdkkvOEjNgh.jpg,2025-03-15,Royal-ish,False,0.0,0
False,,[],1443551,en,Alchemy of the Word,"1873 - The precocious, French poet, Arthur Rimbaud, has eloped with his mentor - the older, married Paul Verlaine - to London where they are struggling to keep the faith in their love and their work. Despite the downward spiral of poverty and violence, it is here that Rimbaud will pen his aptly named masterpiece, “A Season in Hell.”",21.15,/q4XsIeugSMtTaaXoVL73fiHu7VD.jpg,2025-03-15,Alchemy of the Word,False,0.0,0
False,,[],1443247,it,"I'm Not Crying, You're Crying",,21.15,/684kfaDD22ZYL7LvCcpOBS0GQfh.jpg,2025-03-15,"I'm Not Crying, You're Crying",False,0.0,0
False,/7x7auAcey1aTcRJhwSUfR8h6NYA.jpg,"[99, 10402]",1443238,fr,Nunami: là où le vent chante,,21.15,/6UWfXSaSbXxsA9n3TTBDwW6UGxf.jpg,2025-03-15,Nunami: là où le vent chante,False,0.0,0
False,/kPyQ7WrHm6EoUGgou9jyX8WzHHK.jpg,"[53, 18]",1442308,es,Urtajo,,21.148,/mxKrVRwLBkDeIXfWUWSmvtZY0Kp.jpg,2025-03-15,Urtajo,False,0.0,0
False,/j50cdj0CeAOjG9adDmFkjFobieY.jpg,[18],1441712,es,PÉPÉ,"Pépé is a dramatic short film that follows Aime, a reserved photographer from the Ivory Coast, who embarks on a trip to Morelia to collect images for his grandfather, a photo collector and lover of foreign legends and cultures, named Pépé Meless. An unfortunate incident forces him to extend his visit and confronts him with memories, both sad and happy. In the end, Aime must decide how to take on the challenges and victories we all face in life.",21.148,/wRpLZFQmd3CNcFUv8TdAIVgCalE.jpg,2025-03-15,PÉPÉ,False,0.0,0
False,/4Nttep9FdxEOcFJbUCFQoOnmU8p.jpg,[18],1440185,eu,"Jone, batzuetan","Bilbao, August. Jone, 20 years old, lives with her father and younger sister Marta. Aita, Jone's father, had to quit his job due to the consequences of his Parkinson's disease. Meanwhile, Bilbao's Semana Grande festivities kick off, setting the stage for Jone's first experience of love. Throughout this summer, Jone will navigate the dichotomy between the sense of invincibility she shares with Olga, the girl she falls in love with, and the fear of being left alone due to her father's illnes",21.148,/sgeMbGcysuioza8K3L2S1MZzmar.jpg,2025-03-15,"Jone, batzuetan",False,0.0,0
