adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/2r3b7XSYr9OfIaKyXmiaFNJc4oh.jpg,"[18, 10749]",1127648,en,Bonjour Tristesse,"At the height of summer, 18-year-old Cécile is languishing by the French seaside with her handsome father, Raymond, and his lover, Elsa, when the arrival of her late mother's friend Anne changes everything.",22.779,/1yYSUbWs11mjl0s7bjRH8gywKQS.jpg,2025-03-13,Bonjour Tristesse,False,0.0,0
False,/qkswMUEGRIiPIEf9hFnhPnUbXCN.jpg,"[53, 18]",1130863,fr,Belle,"A couple have a peaceful existence in a small provincial town. He is a teacher and she runs an opticians practical. Their life is turned upside when Belle, a friend’s daughter who is lodging with them, is found dead in her room.  The husband becomes the prime suspect as the only one at home at the time.",22.775,/5YITitG67kcHNUDJdP5XodlkTlm.jpg,2025-03-13,Belle,False,0.0,0
False,/zySLhWnLLVsIswnbF3q5IlOLVW7.jpg,"[18, 27, 9648]",1429788,id,Samar,"After moving into her family's abandoned house, horror comic artist Ilmira struggles to complete her latest work while battling financial hardship. But when eerie figures from her past stories come to life—especially the haunting Hooded Woman—her reality spirals into a nightmare, forcing her to confront a buried childhood trauma.",22.704,/waEYWR595cnmkr2OXFjasgGyZGt.jpg,2025-03-13,Nightmare,False,10.0,1
False,,"[27, 18]",1317096,th,มูลู หน้าครู,"May, a young architect who has just moved into her new house in the suburbs with her boyfriend Gun, got news of the death of her stepmother, Po. Only Noon, Po's daughter, testifies that someone killed her mother, however, there does not appear to be any clear evidence.  After May decided to take care Noon at her house, Noon has abnormal symptoms as if she had been possessed by a ghost. Whereas May herself, she began to have inability to sleep cause her illness. Gun then asked Chok, Sak and Master Khom to help.  Master Khom immediately realized that there were “black magic” from the past inside her house, he asked all to find the source of this evil. There is a misfortune in the past related to the The Master's Facial Skin which was removed by Master Jong who is another disciple from his same sect was the source of all these horrifying stories.",22.699,/y1aTtWkMjgKgkNa6Zxs3kmxje21.jpg,2025-03-13,Mulu Nakru,False,0.0,0
False,/eJFCdeVz6EBC5WkpkbCwhRJ4iKj.jpg,[9648],1428262,en,Mystery Island: Winner Takes All,"Mystery Island hosts contest winners vying to solve a fake murder for a grand prize, but the event goes awry when an employee is murdered, and secrets are uncovered.",22.676,/gYdmNz3HT22vimRdwVCmhKBSLZV.jpg,2025-03-13,Mystery Island: Winner Takes All,False,0.0,0
False,/6bro7hHYoghblrjAs8NQfvWwLNB.jpg,"[18, 10749]",1353002,es,Lo que escribimos juntos,"Mariano and Juan have been dating for several years; they have a dog and a quiet life. Mariano always wanted to have a small plant nursery away from the city and now that Juan’s work as a writer is more established due to the success of his latest novel, they decide to make that change. While they adjust to their new space and their new routines, they receive a visit from Juan's best friend, who has news to tell them.",22.625,/vIZuwXUvgUPfZFYYduXyJkQ71Ld.jpg,2025-03-13,What We Wrote Together,False,0.0,0
False,/8lQZagBHWUHi7DvjQkSqzbUDaVO.jpg,[35],1376834,de,Überall gibt es ein Hausen,"What happens when seven women meet in one place for a week? Refreshingly unorthodox, THERE IS A HAUSEN EVERYWHERE addresses the fundamental questions of the present. Can we accept other people as they are and as they live? What is perception and what is reality? And when we talk about truth, what do we mean? In this comedy that plays with the absurdities of everyday life, the seminar community in Hausen becomes a microcosmic image of society.",22.555,/l3cHgCZxdoSyF7Vd45HdwjreXot.jpg,2025-03-13,There is a Hausen Everywhere,False,0.0,0
False,,[18],1384565,ne,अन्जिला,"The film draws inspiration from the life of Anjila Tumbapo Subba, the goalkeeper of the Nepal women’s national football team. Anjila herself is in the lead role, sharing the screen with actors Dayahang Rai, Miruna Magar, Srijana Subba and others.",22.537,/nnJl15h9biAgCpZ6gYFof0KMD4E.jpg,2025-03-13,Anjila,False,0.0,0
False,/b3mdmjYTEL70j7nuXATUAD9qgu4.jpg,"[16, 14, 12]",823219,lv,Straume,"A solitary cat, displaced by a great flood, finds refuge on a boat with various species and must navigate the challenges of adapting to a transformed world together.",22.528,/imKSymKBK7o73sajciEmndJoVkR.jpg,2024-08-29,Flow,False,8.288,1507
False,/xiBr5BQmIjI8rAcMRAc6XkS4Wav.jpg,"[10749, 53]",1216571,fr,June et John,"The story of John, a man who leads an ordinary life with a monotonous routine. His existence flows away dull, and he himself makes no effort to change anything; on the contrary, he does everything to continue being an ordinary man.  One day John runs into a woman on the subway who is as beautiful as she is mysterious named June. His encounter with her finally leads him to have a goal in his bumptious life: to love June to the end of his days and at any cost.",22.526,/fuGPUHzYq4ssMPBM2Gn8X9QKqCr.jpg,2025-03-13,June and John,False,0.0,0
